PIDN,ADDRESS,SALE_TEXT,SALES_CODE,LANDUSE_TE,RECD_DATE,RECD_PRICE,CITY_TEXT,DEED,lat,long
055-32-21-008.00,1929-31 OAKLAND AVE,TRANSFERRED WITHIN 12 MO,6,SINGLE FAMILY,12/15/2016,32000,COVINGTON,C 6055/   4,39.0682,-84.4977
055-32-27-032.00,620 DELMAR PL,FORECLOSURE XFER/PURCHASE FROM BANK,12,TWO FAMILY,12/19/2016,87000,COVINGTON,C 6056/  78,39.0685,-84.4965
055-41-08-006.00,15 26TH ST E,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,12/19/2016,22000,COVINGTON,C 6056/ 149,39.0595,-84.5019
055-41-10-015.00,214-16 ADAMS ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,12/19/2016,130000,COVINGTON,C 6056/ 111,39.06,-84.4991
055-41-13-005.00,2216 OAKLAND AVE,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,12/16/2016,175000,COVINGTON,C 6055/ 281,39.0646,-84.497
055-42-04-010.00,114 30TH ST E,,9999,PAVED LOT,12/31/2016,120000,COVINGTON,C 6067/ 251,39.0548,-84.5017
055-42-04-011.02,112 30TH ST E,,9999,RESTAURANT CAFE/BAR,12/31/2016,120000,COVINGTON,C 6067/ 251,39.0547,-84.502
055-42-04-011.03,102-12 30TH ST E,,9999,PAVED LOT,12/31/2016,120000,COVINGTON,C 6067/ 251,39.0545,-84.5022
056-11-01-043.00,2730 LATONIA AVE,GD SL NEEDS REHAB/ESTATE SALE/RELO,20,SINGLE FAMILY,12/19/2016,59700,COVINGTON,C 6056/ 197,39.051,-84.5158
056-11-03-025.00,2818 LATONIA AVE,,9999,SINGLE FAMILY,12/31/2016,31500,COVINGTON,C 6069/ 265,39.0492,-84.5145
056-11-08-050.00,3156 ROSINA AVE,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,12/8/2016,51000,COVINGTON,C 6049/ 193,39.0497,-84.5107
056-12-01-003.00,1118 33RD ST W,SALE BETWEEN FAMILY/NOT ARMS LENGTH,2,SINGLE FAMILY,12/28/2016,43000,COVINGTON,C 6062/  71,39.0456,-84.5172
056-12-15-014.00,606 35TH ST W,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,12/28/2016,35000,COVINGTON,C 6063/ 183,39.0466,-84.511
056-13-01-018.00,3147 CLIFFORD AVE,SALE BETWEEN FAMILY/NOT ARMS LENGTH,2,SINGLE FAMILY,12/9/2016,110000,COVINGTON,C 6050/   1,39.05,-84.5102
056-13-02-054.00,307 33RD ST W,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,12/2/2016,55000,COVINGTON,C 6044/ 149,39.0492,-84.5078
056-13-02-059.00,304 34TH ST W,SALE BETWEEN FAMILY/NOT ARMS LENGTH,2,SINGLE FAMILY,12/12/2016,66000,COVINGTON,C 6051/ 114,39.049,-84.5074
056-13-07-018.00,122 32ND ST W,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,12/19/2016,15000,COVINGTON,C 6057/ 249,39.0511,-84.5064
056-13-12-017.00,24 30TH ST W,,9999,SINGLE FAMILY,12/31/2016,62000,COVINGTON,C 6068/ 138,39.0534,-84.5048
056-14-08-003.00,27 36TH ST W,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,12/28/2016,28600,COVINGTON,C 6062/ 265,39.0482,-84.5044
056-31-03-003.05,126 33RD ST E,,9999,SINGLE FAMILY,12/31/2016,117000,COVINGTON,C 6068/ 346,39.0524,-84.501
056-31-06-010.00,3521 CHURCH ST,SALE BETWEEN FAMILY/NOT ARMS LENGTH,2,SINGLE FAMILY,12/14/2016,83000,COVINGTON,C 6052/ 240,39.0491,-84.5022
056-31-14-003.01,3507 PARK AVE,SALE $ INCL> 1 PROPERTY,11,GARAGE/PARKING SPACE,12/16/2016,82500,COVINGTON,C 6056/  68,39.0491,-84.4995
056-31-14-003.02,3501 PARK AVE,SALE $ INCL> 1 PROPERTY,11,SINGLE FAMILY,12/16/2016,82500,COVINGTON,C 6056/  68,39.0491,-84.4992
056-32-01-007.01,3618-20 DECOURSEY AVE,FORECLOSURE XFER/PURCHASE FROM BANK,12,RESTAURANT CAFE/BAR,12/13/2016,52500,COVINGTON,C 6052/ 227,39.048,-84.5028
056-32-15-018.00,3812 LINCOLN AVE,,9999,SINGLE FAMILY,12/31/2016,100000,COVINGTON,C 6069/  83,39.0456,-84.5002
056-32-18-008.00,3928 DECOURSEY AVE,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,12/7/2016,12500,COVINGTON,C 6048/  59,39.0439,-84.4995
056-32-22-006.00,315 40TH ST E,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,12/2/2016,63000,COVINGTON,C 6044/ 118,39.0433,-84.4984
056-34-01-018.00,534 SOUTHERN AVE E,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,12/7/2016,157500,COVINGTON,C 6047/ 292,39.0475,-84.4945
056-41-02-051.00,116 42ND ST E,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,12/5/2016,20000,COVINGTON,C 6045/  51,39.042,-84.5012
056-41-03-055.00,140 43RD ST E,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,12/29/2016,20600,COVINGTON,C 6065/ 230,39.041,-84.5002
056-41-04-074.00,4447 DECOURSEY AVE,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,12/9/2016,34000,COVINGTON,C 6050/ 157,39.0376,-84.4961
056-41-06-007.00,321 42ND ST E,NH SALE/CHANGED BY CONSTRUCTION,8,TWO FAMILY,12/13/2016,70000,COVINGTON,C 6051/ 191,39.0419,-84.4972
056-41-10-021.00,4334 MCKEE AVE,SALE BETWEEN FAMILY/NOT ARMS LENGTH,2,SINGLE FAMILY,12/12/2016,20000,COVINGTON,C 6051/ 189,39.0401,-84.4959
056-43-01-015.00,4419 HUNTINGTON AVE,SALE BETWEEN FAMILY/NOT ARMS LENGTH,2,SINGLE FAMILY,12/29/2016,,COVINGTON,C 6064/ 169,39.0387,-84.4954
056-43-01-041.00,4434 DECOURSEY AVE,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,12/19/2016,35000,COVINGTON,C 6057/ 169,39.0382,-84.4957
056-44-01-009.00,4531 HUNTINGTON AVE,TRANSFERRED WITHIN 12 MO,6,SINGLE FAMILY,12/27/2016,24700,COVINGTON,C 6061/ 261,39.0362,-84.495
056-44-07-003.00,317 47TH ST E,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,12/6/2016,84000,COVINGTON,C 6047/  26,39.0342,-84.4945
056-44-07-005.00,321 47TH ST E,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,12/1/2016,33400,COVINGTON,C 6043/ 265,39.0341,-84.4943
059-00-00-017.00,669 GARNER DR,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,12/21/2016,65600,COVINGTON,I 3874/ 198,38.9851,-84.5005
059-30-00-012.00,685 SIPPLE DR,SALE $ INCL> 1 PROPERTY,11,VACANT LAND,12/21/2016,3500,COVINGTON,I 3874/  80,38.9777,-84.5
059-30-00-017.01,669 SIPPLE DR,PARTIAL SALE (SPLIT),1,VACANT LAND,12/2/2016,7500,COVINGTON,I 3864/ 179,38.9782,-84.4994
059-30-00-127.00,660 CLOVER DR,,9999,SINGLE FAMILY,12/31/2016,77000,COVINGTON,I 3882/ 241,38.9835,-84.4992
059-40-00-389.00,5980 TAYLOR MILL RD,SALE PRICE NOT FAIR MARKET VALUE,19,OTHER RETAIL,12/6/2016,90000,COVINGTON,I 3866/ 124,38.9742,-84.5013
040-13-00-001.11,312-16 BELLEVUE ST,SALE PRICE NOT FAIR MARKET VALUE,19,SINGLE FAMILY,11/17/2017,15000,COVINGTON,C 6296/ 280,39.0914,-84.5351
040-14-07-026.00,16 WEST ST,SALE $ INCL> 1 PROPERTY,11,VACANT LAND,11/30/2017,25000,COVINGTON,C 6304/  91,39.0874,-84.5368
040-14-07-027.00,18 WEST ST,SALE $ INCL> 1 PROPERTY,11,VACANT LAND,11/30/2017,25000,COVINGTON,C 6304/  91,39.0874,-84.5371
040-14-08-018.00,1310 HIGHWAY AVE,SALE PRICE NOT FAIR MARKET VALUE,19,SINGLE FAMILY,11/8/2017,24700,COVINGTON,C 6290/ 176,39.0889,-84.5362
040-23-01-011.00,630 SUNSET CT,SALE $ INCL> 1 PROPERTY,11,SINGLE FAMILY,11/15/2017,255000,COVINGTON,C 6295/  80,39.0839,-84.5345
040-23-01-013.00,629 SUNSET CT,SALE $ INCL> 1 PROPERTY,11,VACANT LAND,11/15/2017,255000,COVINGTON,C 6295/  80,39.0837,-84.5339
040-23-03-001.07,1193 DEVOU WOODS DR,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/27/2017,399000,COVINGTON,C 6301/  32,39.0833,-84.5327
040-30-00-160.00,1222 JOHN ST,GD SL NEEDS REHAB/ESTATE SALE/RELO,20,SINGLE FAMILY,11/8/2017,31800,COVINGTON,C 6290/ 132,39.0874,-84.5348
040-30-00-164.00,951 SPRING ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/27/2017,95000,COVINGTON,C 6301/  13,39.089,-84.5297
040-30-01-019.01,1017 FOREST AVE,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/3/2017,10000,COVINGTON,C 6287/  53,39.0872,-84.5311
040-32-04-007.00,1212 PARKWAY AVE,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/27/2017,122500,COVINGTON,C 6302/  54,39.0902,-84.5325
040-32-05-023.00,1194 WESTPORT WAY,GOOD SALE/ARMS LENGTH TRANSACTION,0,TOWNHOME,11/2/2017,550000,COVINGTON,C 6286/   5,39.091,-84.5306
040-41-12-028.00,G028 WINDING WAY,SALE $ INCL> 1 PROPERTY,11,GARAGE/PARKING SPACE,11/2/2017,125000,COVINGTON,C 6285/ 329,39.0833,-84.5274
040-43-02-003.00,601-03 CRESCENT AVE,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/9/2017,100000,COVINGTON,C 6291/ 177,39.0841,-84.524
040-43-02-016.00,728 WESTERN AVE,GOOD SALE/ARMS LENGTH TRANSACTION,0,LANDOMINIUM,11/6/2017,280000,COVINGTON,C 6289/  18,39.0813,-84.524
040-43-05-014.00,643-47 DALTON ST,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,11/30/2017,55000,COVINGTON,C 6304/ 243,39.0831,-84.5212
040-43-06-009.00,715 PHILADELPHIA ST,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,11/27/2017,350000,COVINGTON,C 6302/  70,39.0821,-84.5202
040-43-09-017.00,625-27 BAKEWELL ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/15/2017,255000,COVINGTON,C 6295/  41,39.0833,-84.519
040-44-02-026.00,902 MONTAGUE RD,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/29/2017,10000,COVINGTON,C 6303/ 159,39.076,-84.5248
040-44-03-006.00,824 WESTERN AVE,GD SL NEEDS REHAB/ESTATE SALE/RELO,20,SINGLE FAMILY,11/6/2017,50000,COVINGTON,C 6287/ 297,39.0802,-84.5239
040-44-03-009.00,840-52 WESTERN AVE,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,VACANT LAND,11/27/2017,2000,COVINGTON,C 6300/ 195,39.0795,-84.5239
040-44-03-023.00,710 9TH ST W,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/3/2017,,COVINGTON,C 6287/ 185,39.0786,-84.5232
040-44-04-029.00,862 CRESCENT AVE,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/3/2017,,COVINGTON,C 6287/ 163,39.0791,-84.5226
040-44-04-032.00,870 CRESCENT AVE,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/3/2017,,COVINGTON,C 6287/ 188,39.0788,-84.5224
040-44-05-009.00,913 BAKER ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/9/2017,25000,COVINGTON,C 6291/ 166,39.078,-84.5231
040-44-05-010.00,915 BAKER ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/9/2017,44000,COVINGTON,C 6291/ 169,39.0779,-84.5231
040-44-06-006.00,906 BAKER ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/9/2017,30000,COVINGTON,C 6291/ 163,39.0783,-84.5227
040-44-06-015.00,920 BAKER ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/9/2017,40000,COVINGTON,C 6291/ 173,39.0778,-84.5224
040-44-07-001.00,940 WESTERN AVE,GOOD SALE/ARMS LENGTH TRANSACTION,0,RETAIL W/APARTMENTS,11/27/2017,82000,COVINGTON,C 6300/ 191,39.0768,-84.5237
040-44-07-002.00,727-29 LEWIS ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,TWO FAMILY,11/27/2017,60000,COVINGTON,C 6300/ 199,39.0767,-84.5235
040-44-13-020.00,832 PHILADELPHIA ST,SALE $ INCL> 1 PROPERTY,11,SINGLE FAMILY,11/9/2017,215000,COVINGTON,C 6291/ 247,39.0804,-84.5198
040-44-16-019.00,834-36 BAKEWELL ST,NH SALE/CHANGED BY CONSTRUCTION,8,TWO FAMILY,11/1/2017,135000,COVINGTON,C 6284/ 306,39.0804,-84.5185
040-44-17-014.00,419 9TH ST W,NH SALE/CHANGED BY CONSTRUCTION,8,TWO FAMILY,11/30/2017,160000,COVINGTON,C 6304/ 272,39.0798,-84.5183
041-30-00-028.00,623 EDGECLIFF RD,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/17/2017,72500,COVINGTON,C 6296/ 108,39.0691,-84.5184
041-30-02-004.16,1190 GRAYS PEAK,GOOD SALE/ARMS LENGTH TRANSACTION,0,LANDOMINIUM,11/15/2017,450000,COVINGTON,C 6295/ 114,39.0743,-84.5237
041-40-30-010.00,2245 JO ANN PL,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,11/20/2017,50000,COVINGTON,C 6298/  35,39.0576,-84.5205
043-00-03-004.13,2454 AMBRATO WAY,GOOD SALE/ARMS LENGTH TRANSACTION,0,GARAGE/PARKING SPACE,11/3/2017,15000,COVINGTON,I 4023/ 322,39.009,-84.5246
044-40-00-011.00,2501 WAYMAN BRANCH RD,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,MOB HOME-LAND,11/8/2017,7000,COVINGTON,I 4026/ 132,38.993,-84.5226
045-00-01-101.00,2536 EVERGREEN DR,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/21/2017,105000,COVINGTON,I 4032/   9,38.9894,-84.5195
045-00-01-102.00,2532 EVERGREEN DR,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/21/2017,110000,COVINGTON,I 4032/   9,38.9896,-84.5196
045-00-01-119.00,9121 HAWKSRIDGE DR,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,11/28/2017,94800,COVINGTON,I 4034/ 196,38.9912,-84.5207
045-00-01-220.00,9182 FIRE WOOD CT,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/9/2017,139000,COVINGTON,I 4027/  38,38.9881,-84.5208
045-00-01-226.00,2509 CAMELLIA CT,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/21/2017,115000,COVINGTON,I 4032/   9,38.9885,-84.5203
045-10-01-138.00,2068 GRIBBLE DR,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/16/2017,156000,COVINGTON,I 4030/ 211,38.9837,-84.5362
045-30-00-002.80,2612 EVERGREEN DR,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/7/2017,143000,COVINGTON,I 4025/  27,38.9869,-84.5193
045-30-00-008.00,22 MEADOW HILL DR,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,11/7/2017,136900,COVINGTON,I 4024/ 318,38.9821,-84.5225
045-30-00-072.00,18 BLUFFSIDE DR,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/6/2017,100000,COVINGTON,I 4024/ 314,38.9812,-84.5233
045-30-00-109.00,22 WATERSIDE WAY,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,11/6/2017,59300,COVINGTON,I 4024/ 168,38.9808,-84.5253
045-30-00-461.00,44 HIDEAWAY DR,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/21/2017,10000,COVINGTON,I 4032/  59,38.9782,-84.5204
045-30-00-605.00,6 JUAREZ CIR,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,11/7/2017,132900,COVINGTON,I 4025/ 190,38.9834,-84.5196
045-30-01-011.00,50 OTTER DR,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/13/2017,139900,COVINGTON,I 4028/ 228,38.9787,-84.5162
045-30-01-088.00,166 TANDO WAY,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/16/2017,91000,COVINGTON,I 4030/ 116,38.9777,-84.5179
054-14-14-020.00,220 4TH ST E,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,OBSOLETE CODE/BLIGHTED PER CITYLIST,11/22/2017,40000,COVINGTON,C 6299/ 301,39.0879,-84.5068
054-21-04-025.00,258 7TH ST W,SALE $ INCL> 1 PROPERTY,11,VACANT LAND,11/1/2017,57500,COVINGTON,C 6285/  39,39.0832,-84.5154
054-21-04-026.00,260 7TH ST W,SALE $ INCL> 1 PROPERTY,11,SINGLE FAMILY,11/1/2017,57500,COVINGTON,C 6285/  39,39.0832,-84.5155
054-21-12-007.00,237-39 8TH ST W,NH SALE/CHANGED BY CONSTRUCTION,8,THREE FAMILY,11/1/2017,230000,COVINGTON,C 6285/  42,39.0822,-84.5142
054-21-21-006.00,523 MADISON AVE,GOOD SALE/ARMS LENGTH TRANSACTION,0,OTHER RETAIL,11/22/2017,230000,COVINGTON,C 6299/ 295,39.085,-84.511
054-22-03-006.00,506 12TH ST W,TRANSCTION INVOLVNG NONTXBL ENTITY,5,TWO FAMILY,11/17/2017,26200,COVINGTON,C 6296/ 307,39.0766,-84.5172
054-22-04-013.01,501 MARTIN LUTHER KING J BLVDW,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,OTHER RETAIL,11/14/2017,55000,COVINGTON,C 6294/   1,39.0761,-84.517
054-22-17-002.00,307 BERRY ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/13/2017,50000,COVINGTON,C 6293/ 101,39.0783,-84.5144
054-22-18-007.00,317 ORCHARD ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/20/2017,155000,COVINGTON,C 6298/ 231,39.0775,-84.5146
054-22-18-030.00,322 12TH ST W,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,OBSOLETE CODE/BLIGHTED PER CITYLIST,11/30/2017,63800,COVINGTON,C 6304/ 269,39.077,-84.5146
054-23-13-023.00,120 7TH ST E,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/2/2017,156500,COVINGTON,C 6285/ 334,39.084,-84.5076
054-24-11-012.00,1231 SCOTT ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/1/2017,29000,COVINGTON,C 6284/ 221,39.077,-84.507
054-24-21-043.00,1006 GREENUP ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,TWO FAMILY,11/9/2017,46000,COVINGTON,C 6291/  89,39.081,-84.5058
054-24-24-008.00,223 BUSH ST,NH SALE/CHANGED BY CONSTRUCTION,8,TWO FAMILY,11/3/2017,70000,COVINGTON,C 6287/ 238,39.0788,-84.5045
054-24-26-016.00,222 13TH ST E,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/6/2017,35000,COVINGTON,C 6287/ 244,39.0774,-84.504
054-42-02-019.00,326 12TH ST E,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/1/2017,27000,COVINGTON,C 6284/ 246,39.0788,-84.5027
054-42-04-040.00,1228 GARRARD ST,GD SL NEEDS REHAB/ESTATE SALE/RELO,20,SINGLE FAMILY,11/30/2017,28000,COVINGTON,C 6304/ 128,39.0776,-84.5033
055-11-06-015.00,1421 KAVANAUGH ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/15/2017,15000,COVINGTON,C 6294/ 317,39.073,-84.517
055-11-09-005.01,1514 MORTON ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/3/2017,32000,COVINGTON,C 6287/ 114,39.0725,-84.5155
055-11-11-014.00,407 LINDEN AVE,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,11/17/2017,22000,COVINGTON,C 6296/ 124,39.0724,-84.5149
055-11-19-008.00,1317 HOLMAN ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/13/2017,115000,COVINGTON,C 6293/  82,39.075,-84.5134
055-11-22-051.00,1510 WOODBURN AVE,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/7/2017,40000,COVINGTON,C 6289/ 267,39.0725,-84.5133
055-11-24-029.00,1306 HOLMAN ST,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,11/20/2017,74500,COVINGTON,C 6297/ 330,39.0755,-84.513
055-11-25-001.00,1402 HOLMAN ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/15/2017,58500,COVINGTON,C 6294/ 321,39.0745,-84.5127
055-11-27-024.00,1608-10 HOLMAN ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,TWO FAMILY,11/27/2017,65000,COVINGTON,C 6300/ 327,39.0707,-84.5118
055-11-32-010.00,1617 RUSSELL ST,TRANSFERRED WITHIN 12 MO,6,SINGLE FAMILY,11/7/2017,39500,COVINGTON,C 6289/ 278,39.0706,-84.5104
055-12-02-081.01,772 HIGHLAND AVE,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,11/2/2017,77000,COVINGTON,C 6286/ 183,39.0638,-84.5202
055-12-05-003.00,1605 JEFFERSON AVE,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/15/2017,55000,COVINGTON,C 6295/ 126,39.0696,-84.5166
055-12-05-011.00,1701 JEFFERSON AVE,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/6/2017,78000,COVINGTON,C 6287/ 304,39.0687,-84.5159
055-12-05-037.00,1608 MONROE ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/7/2017,97900,COVINGTON,C 6289/  45,39.0692,-84.5167
055-12-07-003.00,527 HIGHLAND AVE,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/17/2017,60000,COVINGTON,C 6296/ 239,39.0651,-84.514
055-12-16-019.00,1729 WOODBURN AVE,SALE $ INCL> 1 PROPERTY,11,SINGLE FAMILY,11/8/2017,50000,COVINGTON,C 6291/  68,39.0685,-84.5128
055-12-16-024.00,1732 LAWN ST,SALE $ INCL> 1 PROPERTY,11,VACANT LAND,11/8/2017,50000,COVINGTON,C 6291/  68,39.0684,-84.5131
055-12-19-022.00,1816 EUCLID AVE,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,11/13/2017,50700,COVINGTON,C 6292/  63,39.0676,-84.5128
055-12-21-017.00,312 20TH ST W,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,11/13/2017,41000,COVINGTON,C 6293/ 145,39.0656,-84.5104
055-12-22-005.00,323 20TH ST W,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,11/8/2017,82500,COVINGTON,C 6290/ 152,39.065,-84.5105
055-13-08-004.00,17 MARTIN ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,4-19 UNIT APARTMENTS,11/8/2017,128000,COVINGTON,C 6291/   1,39.0745,-84.5069
055-13-13-007.00,1501 GREENUP ST,NH SALE/CHANGED BY CONSTRUCTION,8,TWO FAMILY,11/2/2017,220000,COVINGTON,C 6285/ 307,39.074,-84.5046
055-13-14-024.00,1610 SCOTT ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,4-19 UNIT APARTMENTS,11/30/2017,63800,COVINGTON,C 6304/ 269,39.0717,-84.505
055-14-06-030.00,2020 RUSSELL ST,GD SL NEEDS REHAB/ESTATE SALE/RELO,20,SINGLE FAMILY,11/1/2017,11000,COVINGTON,C 6284/ 192,39.0655,-84.5083
055-14-08-004.00,143 21ST ST W,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,11/13/2017,32000,COVINGTON,C 6292/ 106,39.0651,-84.5075
055-14-18-015.00,16 20TH ST E,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,11/16/2017,36000,COVINGTON,C 6296/  20,39.0672,-84.5052
055-14-19-005.00,1903 SCOTT ST,GD SL NEEDS REHAB/ESTATE SALE/RELO,20,TWO FAMILY,11/6/2017,25000,COVINGTON,C 6288/ 257,39.0682,-84.5048
055-14-22-015.00,29 WALLACE AVE,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/2/2017,105000,COVINGTON,C 6286/ 151,39.0653,-84.504
055-14-24-024.00,1824 SCOTT ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,TWO FAMILY,11/30/2017,152000,COVINGTON,C 6305/   5,39.0687,-84.5043
055-14-27-034.00,120 WALLACE AVE,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/27/2017,415000,COVINGTON,C 6302/  57,39.0657,-84.5028
055-20-08-005.01,720 FRANCIS LN,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/27/2017,107500,COVINGTON,C 6300/ 280,39.0564,-84.5171
055-20-10-010.00,717 MONTE LN,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/7/2017,115000,COVINGTON,C 6289/ 141,39.057,-84.5169
055-21-01-005.00,633 19TH ST W,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/13/2017,101000,COVINGTON,C 6292/ 307,39.0639,-84.5156
055-21-02-097.04,907 HIGHLAND AVE,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,11/17/2017,118500,COVINGTON,C 6296/ 315,39.061,-84.5227
055-23-02-010.00,217 21ST ST W,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,11/15/2017,82500,COVINGTON,C 6295/   2,39.0646,-84.5089
055-23-10-004.00,2507 HERMAN ST,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,11/27/2017,78900,COVINGTON,C 6302/  16,39.0599,-84.507
