PIDN,ADDRESS,SALE_TEXT,SALES_CODE,LANDUSE_TE,RECD_DATE,RECD_PRICE,CITY_TEXT,DEED,lat,long
055-14-02-018.00,1831 RUSSELL ST,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,2/1/2019,33300,COVINGTON,C 6592/ 216,39.0672,-84.5101
055-14-15-011.00,1721 SCOTT ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,2/21/2019,285000,COVINGTON,C 6604/  78,39.07,-84.5053
055-20-02-014.00,2231 GENEVIEVE DR,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,2/27/2019,141000,COVINGTON,C 6607/ 242,39.0596,-84.5207
055-21-10-029.00,2243 JANES LN,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,2/14/2019,122500,COVINGTON,C 6600/  28,39.0567,-84.5206
055-23-03-014.00,2229 HOWELL ST,VACANT LOTS & LAND SALES,21,VACANT LAND,2/6/2019,5000,COVINGTON,C 6594/ 298,39.0625,-84.5095
055-23-05-013.00,2437 WARREN ST,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,2/27/2019,73900,COVINGTON,C 6607/ 336,39.0601,-84.5086
055-23-05-016.00,2443 WARREN ST,SALE $ INCL> 1 PROPERTY,11,SINGLE FAMILY,2/12/2019,74000,COVINGTON,C 6599/  26,39.0601,-84.5082
055-23-05-017.01,1 WARREN ST,SALE $ INCL> 1 PROPERTY,11,VACANT LAND,2/12/2019,74000,COVINGTON,C 6599/  26,39.06,-84.5081
055-23-08-014.00,2306 WARREN ST,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,2/12/2019,90000,COVINGTON,C 6598/ 282,39.0621,-84.5091
055-23-09-004.00,2405 HERMAN ST,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,2/22/2019,29300,COVINGTON,C 6605/  76,39.0616,-84.5083
055-23-10-015.00,2518 WARREN ST,GD SL NEEDS REHAB/ESTATE SALE/RELO,20,SINGLE FAMILY,2/4/2019,51000,COVINGTON,C 6592/ 349,39.0592,-84.5069
055-23-11-010.00,2402 HERMAN ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,2/26/2019,12000,COVINGTON,C 6607/ 186,39.0618,-84.5079
