id,date,hap,fdate,saledate,saleval,fdummy,sdummy,spell
054.21.02.003.00,3/1/14,0,,10/1/16,11.13019984,0,1,31
054.21.05.018.03,3/1/14,0,,,11.96081129,0,0,60
054.21.06.019.00,3/1/14,0,,11/1/16,9.83091686,0,1,32
054.21.22.012.00,3/1/14,0,,,11.86358234,0,0,60
054.22.12.019.00,3/1/14,0,,,11.22524339,0,0,60
054.22.30.011.00,3/1/14,0,,,11.88448902,0,0,60
054.24.18.019.00,3/1/14,0,,,9.740968623,0,0,60
054.24.25.013.00,3/1/14,0,,,9.825526011,0,0,60
054.42.04.025.00,3/1/14,0,,6/1/17,9.417354541,0,1,39
054.42.04.025.00,3/1/14,0,,6/1/18,9.417354541,0,1,51
055.11.17.021.00,3/1/14,0,,,9.903487553,0,0,60
055.11.32.029.00,3/1/14,0,,,9.825526011,0,0,60
055.12.09.011.00,3/1/14,0,,,10.1266311,0,0,60
055.12.15.006.00,3/1/14,0,,9/1/17,11.08214255,0,1,42
055.12.20.028.00,3/1/14,0,,1/1/17,11.40756495,0,1,34
055.12.21.008.00,3/1/14,0,,,10.40426284,0,0,60
055.12.23.004.00,3/1/14,0,,10/1/18,10.16585182,0,1,55
055.12.23.023.00,3/1/14,0,,,6.907755279,0,0,60
055.13.11.042.00,3/1/14,0,,9/1/15,8.517193191,0,1,18
055.13.12.007.00,3/1/14,0,,,11.69524702,0,0,60
055.14.06.023.00,3/1/14,0,,,12.30138283,0,0,60
055.14.17.012.00,3/1/14,0,,8/1/16,9.903487553,0,1,29
055.14.26.010.00,3/1/14,0,,,12.06220228,0,0,60
055.23.09.012.00,3/1/14,0,,,9.61580548,0,0,60
055.23.09.014.00,3/1/14,0,9/1/14,,10.50780352,1,0,6
055.23.14.008.02,3/1/14,0,,,12.30138283,0,0,60
055.23.18.003.00,3/1/14,0,,,12.30138283,0,0,60
055.23.18.005.00,3/1/14,0,,,12.30138283,0,0,60
055.24.06.005.00,3/1/14,0,,,8.160518247,0,0,60
055.31.03.043.00,3/1/14,0,,,8.517193191,0,0,60
055.31.07.020.00,3/1/14,0,,,10.30895266,0,0,60
055.31.11.009.00,3/1/14,0,,,10.81977828,0,0,60
055.31.15.004.00,3/1/14,0,,,8.987196821,0,0,60
055.31.20.003.00,3/1/14,0,,,10.80972795,0,0,60
055.32.01.020.00,3/1/14,0,7/1/14,,10.41331268,1,0,4
055.32.01.034.00,3/1/14,0,,,8.665613197,0,0,60
055.32.22.009.00,3/1/14,0,,,10.02570519,0,0,60
055.32.22.011.00,3/1/14,0,,,10.20359214,0,0,60
055.41.02.021.00,3/1/14,0,,,12.86099861,0,0,60
055.41.07.010.00,3/1/14,0,,6/1/17,11.51292546,0,1,39
056.11.05.002.00,3/1/14,0,,,10.46310334,0,0,60
056.11.07.037.00,3/1/14,0,,,11.35040654,0,0,60
056.11.07.037.01,3/1/14,0,,,11.35040654,0,0,60
056.11.07.075.00,3/1/14,0,,,11.40645322,0,0,60
056.12.09.009.00,3/1/14,0,,,11.23848862,0,0,60
056.13.02.112.00,3/1/14,0,,,11.51192496,0,0,60
056.13.05.002.00,3/1/14,0,,,11.22524339,0,0,60
056.13.09.006.00,3/1/14,0,,,11.28978191,0,0,60
056.13.12.014.00,3/1/14,0,,,10.83958091,0,0,60
056.13.17.003.00,3/1/14,0,,11/1/17,9.998797732,0,1,44
056.13.17.003.00,3/1/14,0,,4/1/18,9.998797732,0,1,49
056.31.11.019.00,3/1/14,0,,,10.71885237,0,0,60
056.31.12.003.00,3/1/14,0,,,10.91508846,0,0,60
056.32.14.016.00,3/1/14,0,,,9.852194258,0,0,60
056.32.17.005.00,3/1/14,0,,,11.28978191,0,0,60
056.32.27.012.00,3/1/14,0,,,10.97678203,0,0,60
056.41.02.009.00,3/1/14,0,,,11.08214255,0,0,60
056.41.07.001.00,3/1/14,0,,,12.30138283,0,0,60
056.42.01.008.00,3/1/14,0,,,11.15482093,0,0,60
056.42.02.017.00,3/1/14,0,9/1/18,,9.305650552,1,0,1
056.43.07.004.00,3/1/14,0,,3/1/18,11.62267633,0,1,48
059.30.10.072.00,3/1/14,0,,,,0,0,60
040.00.00.008.03,5/1/14,0,7/1/16,,11.08214255,1,0,26
040.10.01.008.00,5/1/14,0,,,11.06663836,0,0,60
040.14.07.018.00,5/1/14,0,,,10.04324949,0,0,60
040.30.00.090.00,5/1/14,0,,,11.20504069,0,0,60
040.30.00.124.00,5/1/14,0,4/1/15,,10.30895266,1,0,11
040.32.01.014.00,5/1/14,0,,,10.02127059,0,0,60
040.41.12.113.00,5/1/14,0,,,11.14186178,0,0,60
040.41.12.155.00,5/1/14,0,8/1/14,,11.21989579,1,0,3
040.43.06.002.00,5/1/14,0,,,12.34583459,0,0,60
040.43.09.013.00,5/1/14,0,,,8.9226583,0,0,60
040.43.09.018.00,5/1/14,0,,4/1/18,10.02127059,0,1,47
040.43.09.018.00,5/1/14,0,,7/1/16,10.02127059,0,1,26
040.44.01.037.00,5/1/14,0,,,9.350102314,0,0,60
040.44.01.053.00,5/1/14,0,,10/1/18,11.3736634,0,1,53
040.44.04.024.00,5/1/14,0,,2/1/15,9.803667217,0,1,9
040.44.04.024.00,5/1/14,0,,2/1/15,9.803667217,0,1,9
040.44.09.011.00,5/1/14,0,,11/1/18,11.3736634,0,1,54
041.33.08.026.00,5/1/14,0,,,8.29404964,0,0,60
044.40.00.002.17,5/1/14,0,,,11.6784399,0,0,60
044.40.00.002.30,5/1/14,0,5/1/15,,11.57119437,1,0,12
044.40.00.002.30,5/1/14,0,5/1/15,,11.57119437,1,0,12
045.00.01.229.00,5/1/14,0,,,11.77528973,0,0,60
045.10.01.049.00,5/1/14,0,,,11.67334219,0,0,60
045.30.00.002.11,5/1/14,0,11/1/16,,11.71831229,1,0,30
045.30.00.002.51,5/1/14,0,,,11.72723007,0,0,60
045.30.00.152.00,5/1/14,0,,9/1/15,10.81977828,0,1,16
045.30.00.440.00,5/1/14,0,,4/1/15,11.51292546,0,1,11
045.30.00.515.00,5/1/14,0,,,11.39639165,0,0,60
045.30.01.084.00,5/1/14,0,,,11.68687877,0,0,60
045.30.01.141.00,5/1/14,0,,,11.82407989,0,0,60
054.21.06.006.00,5/1/14,0,,8/1/17,8.517193191,0,1,39
054.21.06.006.00,5/1/14,0,,11/1/18,8.517193191,0,1,54
054.21.12.003.00,5/1/14,0,,8/1/18,11.73606902,0,1,51
054.21.13.018.00,5/1/14,0,,,11.88448902,0,0,60
054.21.23.009.00,5/1/14,0,,,13.01700286,0,0,60
054.22.01.001.00,5/1/14,0,,,12.08390501,0,0,60
054.22.04.013.01,5/1/14,0,,11/1/17,8.160518247,0,1,42
054.22.04.013.01,5/1/14,0,,10/1/18,8.160518247,0,1,53
054.22.07.006.00,5/1/14,0,,,11.15625052,0,0,60
054.22.19.004.00,5/1/14,0,,8/1/15,10.50506754,0,1,15
054.22.27.030.00,5/1/14,0,,,11.91839057,0,0,60
054.23.22.004.00,5/1/14,0,,2/1/17,13.17115354,0,1,33
054.23.27.003.00,5/1/14,0,,3/1/15,9.852194258,0,1,10
054.24.01.009.00,5/1/14,0,,,10.59663473,0,0,60
054.24.01.010.00,5/1/14,0,,,10.59663473,0,0,60
054.24.06.020.00,5/1/14,0,,,12.1281111,0,0,60
054.24.08.001.00,5/1/14,0,,,13.38472764,0,0,60
054.24.27.007.00,5/1/14,0,,,9.305650552,0,0,60
054.42.05.002.00,5/1/14,0,,,9.392661929,0,0,60
054.42.11.012.00,5/1/14,0,,9/1/18,9.609116492,0,1,52
055.11.26.029.00,5/1/14,0,,,9.539644119,0,0,60
055.12.02.074.00,5/1/14,0,,,11.49272276,0,0,60
055.12.19.018.00,5/1/14,0,,,10.81977828,0,0,60
055.13.12.007.01,5/1/14,0,,,11.65268741,0,0,60
055.13.13.037.00,5/1/14,0,,,11.26446411,0,0,60
055.14.01.013.00,5/1/14,0,7/1/14,,10.74935582,1,0,2
055.14.09.001.01,5/1/14,0,,,12.76568843,0,0,60
055.14.15.028.00,5/1/14,0,,,11.08214255,0,0,60
056.13.02.049.00,5/1/14,0,,,10.46310334,0,0,60
056.14.01.006.00,5/1/14,0,,8/1/16,10.51867319,0,1,27
056.14.01.006.00,5/1/14,0,11/1/16,,10.51867319,1,0,30
056.31.01.007.00,5/1/14,0,,,10.93310697,0,0,60
056.31.09.009.00,5/1/14,0,,,10.71441777,0,0,60
056.31.23.015.00,5/1/14,0,1/1/15,,10.67821472,1,0,8
056.41.08.026.00,5/1/14,0,,,10.69194491,0,0,60
056.41.10.024.00,5/1/14,0,,,11.48246626,0,0,60
056.43.01.049.00,5/1/14,0,,,10.87804719,0,0,60
058.40.00.228.00,5/1/14,0,,,11.82041016,0,0,60
059.30.00.007.00,5/1/14,0,,,9.433483923,0,0,60
059.40.00.350.00,5/1/14,0,,,12.35449265,0,0,60
040.00.00.013.01,6/1/14,0,,2/1/15,9.047821442,0,1,8
040.00.00.013.01,6/1/14,0,,2/1/15,9.047821442,0,1,8
040.14.07.020.00,6/1/14,0,,,10.30561376,0,0,60
040.14.07.039.00,6/1/14,0,,,10.25765937,0,0,60
040.14.10.021.00,6/1/14,0,,,8.517193191,0,0,60
040.30.01.019.01,6/1/14,0,,11/1/17,10.1266311,0,1,41
040.30.01.019.01,6/1/14,0,,11/1/16,10.1266311,0,1,29
040.43.04.002.03,6/1/14,0,,,15.644084,0,0,60
040.43.09.036.00,6/1/14,0,,,12.1542529,0,0,60
