id,hap,fdummy,sdummy,spell,saleval
040.44.09.032.00,0,0,1,16,11.08214255
040.44.09.032.00,0,0,1,29,11.08214255
040.44.09.038.00,0,0,1,4,10.50780352
040.44.09.038.00,0,0,1,9,10.50780352
040.44.11.005.00,0,0,1,24,9.609116492
040.44.13.002.00,0,1,0,7,10.59663473
040.44.13.005.00,0,0,0,48,12.14472902
040.44.13.005.00,0,0,0,48,12.14472902
040.44.13.008.00,0,0,0,48,12.14472902
040.44.13.008.00,0,0,0,48,12.14472902
040.44.13.016.00,0,0,1,27,11.82041016
040.44.14.001.00,0,0,1,15,11.15625052
040.44.14.001.00,0,0,1,15,11.15625052
040.44.14.001.00,0,0,1,10,11.15625052
040.44.14.018.00,0,0,0,48,10.75790288
040.44.14.018.00,0,0,0,48,10.75790288
040.44.14.037.00,0,0,1,30,10.30895266
040.44.14.037.00,0,0,1,30,10.30895266
040.44.14.037.00,0,0,1,22,10.30895266
040.44.14.042.00,0,0,0,48,10.75790288
040.44.14.042.00,0,0,0,48,10.75790288
040.44.15.008.00,0,0,0,48,12.70442075
040.44.15.008.00,0,0,0,48,12.70442075
040.44.16.007.00,0,0,1,26,11.51292546
040.44.16.020.01,0,0,0,48,10.91508846
040.44.16.020.01,0,0,0,48,10.91508846
040.44.17.001.00,0,0,0,48,8.999619341
040.44.17.002.00,0,0,0,48,11.2185544
040.44.17.010.00,0,0,1,28,9.680344001
040.44.17.010.00,0,0,1,16,9.680344001
040.44.17.011.00,0,0,0,48,11.89818787
040.44.17.014.00,0,0,1,30,11.39639165
040.44.17.014.00,0,0,1,25,11.39639165
040.44.17.014.00,0,0,1,30,11.39639165
040.44.17.014.00,0,0,1,25,11.39639165
040.44.17.026.00,0,0,1,24,10.71441777
040.44.17.026.00,0,0,1,35,10.71441777
040.44.18.016.00,0,0,1,12,10.41331268
040.44.18.018.00,0,0,0,48,13.38472764
040.44.18.026.00,0,0,0,48,10.30895266
041.30.02.002.13,0,0,1,27,12.59642412
041.30.02.004.16,0,0,1,26,13.01700286
041.30.02.004.16,0,0,1,31,13.01700286
041.30.02.006.46,0,0,1,34,12.98310131
041.30.02.006.66,0,0,1,45,12.8967167
041.30.02.011.58,0,0,0,48,13.06048797
041.30.02.011.88,0,0,0,48,12.88029182
041.30.02.011.88,0,0,0,48,12.88029182
041.33.05.016.00,0,0,0,48,7.740664402
041.33.06.040.00,0,0,0,48,10.69194491
041.33.08.010.00,0,0,1,5,8.29404964
041.33.08.010.00,0,0,1,5,8.29404964
041.33.08.017.00,0,0,0,48,9.61580548
041.33.08.017.00,0,0,0,48,9.61580548
041.33.08.025.00,0,0,0,48,10.01681624
041.33.09.002.00,0,1,0,4,10.74935582
041.33.09.002.00,0,1,0,6,10.74935582
041.33.09.002.00,0,1,0,4,10.74935582
041.33.09.002.00,0,0,0,48,10.74935582
041.40.01.001.00,0,0,0,48,11.56171563
041.40.01.015.00,0,0,1,28,11.00209984
041.40.02.004.00,0,0,0,48,10.96819829
041.40.02.004.01,0,0,0,48,10.96819829
041.40.21.001.00,0,0,1,34,12.4874851
041.40.30.014.00,0,0,0,48,10.81977828
043.00.03.002.12,0,0,0,48,11.79131449
043.00.03.003.00,0,0,1,39,13.09211033
043.00.03.003.01,0,0,0,48,13.09211033
043.00.03.007.00,0,0,1,17,13.08383043
043.00.03.007.00,0,0,1,16,13.08383043
043.00.03.007.00,0,0,1,26,13.08383043
043.00.03.008.12,0,0,1,15,11.82554402
043.00.04.003.00,0,0,0,48,13.08383043
043.00.04.004.00,0,0,0,48,13.08383043
043.00.04.005.00,0,0,0,48,13.08383043
043.00.04.006.00,0,0,0,48,13.08383043
043.00.04.007.00,0,0,0,48,13.08383043
043.00.04.011.00,0,0,0,48,13.08383043
044.00.00.049.03,0,1,0,20,12.43718437
044.00.01.008.00,0,0,0,48,12.64432758
044.20.00.067.01,0,0,0,48,11.9381932
044.40.00.002.21,1,0,0,48,11.72803684
044.40.00.002.30,0,0,0,48,11.60823564
044.40.00.002.30,0,0,0,48,11.60823564
045.00.00.016.00,0,0,0,48,11.08214255
045.00.00.018.00,0,0,0,48,10.66895539
045.00.00.018.00,0,0,0,48,10.66895539
045.00.00.018.01,0,0,0,48,11.73606902
045.00.00.018.01,0,0,0,48,11.73606902
045.00.01.103.00,0,0,0,48,11.74799759
045.00.01.117.00,0,0,0,48,11.79433792
045.00.01.120.00,0,0,0,48,11.71586631
045.00.01.120.00,0,0,0,48,11.71586631
045.00.01.128.00,0,0,0,48,11.6977439
045.00.01.128.00,0,0,0,48,11.6977439
045.00.01.129.00,0,0,0,48,11.79810441
045.00.01.139.00,0,0,1,38,11.73606902
045.00.01.186.00,0,0,0,48,11.50287513
045.00.01.204.00,0,0,0,48,11.81303006
045.00.01.204.00,0,0,0,48,11.81303006
045.00.01.223.00,0,0,0,48,11.76756768
045.00.01.223.00,0,0,0,48,11.76756768
045.00.01.234.00,0,0,1,5,11.51292546
045.00.01.234.00,0,0,1,5,11.51292546
045.00.01.234.00,0,0,1,6,11.51292546
045.00.01.234.00,0,0,1,6,11.51292546
045.00.01.267.00,0,0,0,48,11.96400108
045.00.01.270.00,0,0,0,48,11.75900399
045.00.01.270.00,0,0,0,48,11.75900399
045.00.02.047.00,0,0,0,48,12.07254125
045.00.02.047.00,0,0,0,48,12.07254125
045.10.00.006.00,0,0,0,48,10.02127059
045.10.01.001.00,0,0,0,48,11.6784399
045.10.01.006.00,0,0,0,48,11.9511804
045.10.01.045.00,0,0,1,26,11.8493977
045.10.01.048.00,0,0,0,48,11.84868316
045.10.01.055.00,0,0,1,19,11.83500896
045.10.01.060.00,0,0,0,48,11.83500896
045.10.01.061.00,0,0,0,48,11.9511804
045.10.01.066.00,0,0,1,25,11.71993963
045.10.01.073.00,0,0,0,48,11.98292909
045.10.01.074.00,0,0,0,48,11.97603035
045.10.01.117.00,0,0,1,34,11.91839057
045.10.01.122.00,0,0,0,48,11.8493977
045.10.01.144.00,0,0,0,48,11.51592097
045.10.01.159.00,0,0,0,48,12.01370075
045.10.01.159.00,0,0,0,48,12.01370075
045.10.01.177.00,0,0,0,48,11.8493977
045.10.01.177.00,0,0,0,48,11.8493977
045.10.01.181.00,0,0,1,19,11.84868316
045.10.01.211.00,0,0,0,48,12.07823927
045.10.01.232.00,0,0,0,48,11.71993963
045.10.01.243.00,0,0,0,48,11.86709728
045.10.01.254.00,0,0,0,48,11.8493977
045.10.01.272.00,0,0,0,48,12.06968002
045.30.00.001.11,0,0,0,48,11.21182037
045.30.00.001.11,0,0,0,48,11.21182037
045.30.00.001.40,0,0,1,39,11.54248427
045.30.00.001.40,0,0,1,39,11.54248427
045.30.00.001.74,0,0,0,48,10.99373159
045.30.00.001.74,0,0,0,48,10.99373159
045.30.00.001.82,0,0,1,37,11.77528973
045.30.00.002.10,0,1,0,11,11.34450681
045.30.00.002.56,0,0,0,48,11.60823564
045.30.00.002.56,0,0,0,48,11.60823564
045.30.00.002.58,0,0,0,48,11.75978554
045.30.00.002.63,0,1,0,7,11.21989579
045.30.00.002.63,0,1,0,7,11.21989579
045.30.00.002.71,0,0,0,48,11.76756768
045.30.00.007.00,0,0,0,48,11.51292546
045.30.00.031.00,0,0,0,48,11.05564061
045.30.00.031.00,0,0,0,48,11.05564061
045.30.00.034.00,0,0,0,48,11.65268741
045.30.00.044.00,0,0,1,32,11.66992921
045.30.00.047.00,0,0,0,48,11.35040654
045.30.00.052.00,0,0,1,12,11.60732614
045.30.00.058.00,1,0,0,48,11.4019939
045.30.00.072.00,0,0,1,28,11.40756495
045.30.00.072.00,0,0,1,25,11.40756495
045.30.00.085.00,0,0,0,48,11.68687877
045.30.00.146.00,0,0,0,48,11.51292546
045.30.00.149.00,0,0,0,48,11.73206099
045.30.00.152.00,0,0,0,48,11.75508702
045.30.00.165.00,0,0,0,48,11.30220443
045.30.00.170.00,0,0,0,48,11.2708539
045.30.00.170.00,0,0,0,48,11.2708539
045.30.00.181.00,1,0,1,11,11.41861479
045.30.00.186.00,0,0,0,48,11.67419361
045.30.00.193.00,0,0,1,45,11.58058411
045.30.00.202.00,0,0,1,5,11.10645986
045.30.00.228.00,0,0,0,48,11.22524339
045.30.00.255.00,0,0,1,26,11.62177987
045.30.00.256.00,0,0,0,48,11.60823564
045.30.00.266.00,0,0,0,48,11.61728548
045.30.00.280.00,0,0,0,48,10.87993221
045.30.00.283.00,0,0,0,48,10.96819829
045.30.00.295.00,0,0,0,48,11.20775808
045.30.00.321.00,0,0,0,48,11.1124479
045.30.00.321.00,0,0,0,48,11.1124479
045.30.00.333.00,0,0,0,48,11.65268741
045.30.00.333.00,0,0,0,48,11.65268741
045.30.00.340.00,0,0,1,37,11.55214618
045.30.00.364.00,0,0,0,48,11.45635511
045.30.00.376.00,0,0,0,48,11.51292546
045.30.00.376.00,0,0,0,48,11.51292546
045.30.00.418.00,0,0,0,48,11.65268741
045.30.00.423.00,0,0,1,24,11.06507464
045.30.00.423.00,0,0,1,21,11.06507464
045.30.00.423.00,0,0,1,21,11.06507464
045.30.00.423.00,0,0,1,24,11.06507464
045.30.00.440.00,0,0,0,48,11.65268741
045.30.00.453.00,0,0,0,48,11.56076279
045.30.00.490.00,0,0,1,11,11.00209984
045.30.00.490.00,0,0,1,10,11.00209984
045.30.00.493.00,0,0,1,26,11.56171563
045.30.00.498.01,0,0,0,48,11.62625415
045.30.00.505.00,1,0,0,48,11.65268741
045.30.00.513.00,0,0,1,18,11.6784399
045.30.00.539.00,0,0,1,9,10.88369161
045.30.00.547.00,0,0,0,48,11.65615963
045.30.00.552.00,0,0,0,48,11.06663836
