id,date,hap,fdate,saledate,fdummy,sdummy,spell,saleval,sqft,age
056.12.07.006.00,1/1/14,0,,,0,0,60,10.06900199,7.050989447,4.521788577
056.12.15.005.00,1/1/14,0,,10/1/17,0,1,45,9.350102314,7.717796211,5.384495063
056.12.15.005.00,1/1/14,0,,10/1/16,0,1,33,9.350102314,7.717796211,5.384495063
056.13.02.137.00,1/1/14,0,,,0,0,60,11.46163217,7.313220387,4.644390899
056.13.03.002.00,1/1/14,0,,3/1/18,0,1,50,11.08214255,7.116394144,4.543294782
056.23.01.011.00,1/1/14,0,,6/1/16,0,1,29,10.1266311,7.226936018,4.644390899
056.41.10.001.00,1/1/14,0,,,0,0,60,9.998797732,7.081708586,4.553876892
056.41.10.026.00,1/1/14,0,,,0,0,60,10.57131693,7.476472381,4.553876892
056.43.08.018.00,1/1/14,0,,,0,0,60,10.3449631,6.962243464,4.574710979
040.32.04.003.00,3/1/14,0,,,0,0,60,10.71219307,7.196686571,4.543294782
040.32.04.012.00,3/1/14,0,,12/1/17,0,1,45,10.30895266,6.946975992,4.584967479
