"","id","date","saleval"
"122","056.11.05.021.00",2016-02-01,21000
"123","056.11.07.004.00",2016-02-01,22000
"124","056.12.03.016.00",2016-02-01,75000
"125","056.12.04.003.00",2016-02-01,20200
"126","056.12.06.001.00",2016-02-01,38000
"127","056.12.16.002.00",2016-02-01,51000
"128","056.13.07.009.00",2016-02-01,60700
"129","056.13.12.010.00",2016-02-01,89000
"130","056.13.13.006.00",2016-02-01,53100
"131","056.14.13.016.00",2016-02-01,48500
"132","056.31.02.020.00",2016-02-01,70000
"133","056.31.07.016.00",2016-02-01,35000
"134","056.31.19.012.00",2016-02-01,25000
"135","056.32.23.008.00",2016-02-01,9200
"136","056.32.23.018.00",2016-02-01,20000
"137","056.32.25.007.00",2016-02-01,89000
"138","056.32.25.022.00",2016-02-01,4200
"139","056.32.26.016.00",2016-02-01,100000
"140","056.33.01.006.00",2016-02-01,85000
"141","056.42.01.019.00",2016-02-01,19900
"142","056.42.01.042.00",2016-02-01,58000
"143","056.43.10.010.00",2016-02-01,79900
"144","058.40.00.250.00",2016-02-01,80100
"145","059.30.10.073.00",2016-02-01,208000
"146","840.41.10.101.09",2016-02-01,80000
"147","840.41.10.106.11",2016-02-01,135000
"148","843.00.03.003.14",2016-02-01,164600
"149","843.00.03.003.32",2016-02-01,142700
"150","843.00.03.019.30",2016-02-01,100000
"151","854.14.12.001.04",2016-02-01,180000
"152","040.10.02.010.00",2016-02-01,17000
"153","040.30.00.001.13",2016-02-01,132500
"154","040.30.00.129.00",2016-02-01,30600
"155","040.30.00.130.00",2016-02-01,30600
"156","040.30.00.144.00",2016-02-01,55000
"157","040.34.07.001.00",2016-02-01,1702700
"158","040.41.12.147.00",2016-02-01,135000
"159","040.41.12.229.00",2016-02-01,80000
"160","040.43.09.030.00",2016-02-01,30000
"161","040.44.01.040.00",2016-02-01,34000
"162","040.44.03.018.00",2016-02-01,115000
"163","040.44.06.017.00",2016-02-01,115000
"164","040.44.14.026.00",2016-02-01,33000
"165","040.44.16.018.01",2016-02-01,94000
"166","040.44.17.007.00",2016-02-01,33000
"167","041.30.00.014.00",2016-02-01,4430000
"168","041.33.08.010.00",2016-02-01,4000
"169","042.30.00.084.01",2016-02-01,336100
"170","044.40.00.002.19",2016-02-01,117000
"171","045.00.00.022.00",2016-02-01,80000
"172","045.00.01.004.00",2016-02-01,118900
"173","045.00.01.164.00",2016-02-01,188000
"174","045.00.01.191.00",2016-02-01,139000
"175","045.00.01.234.00",2016-02-01,139900
"176","045.00.02.020.00",2016-02-01,36000
"177","045.00.02.025.00",2016-02-01,250000
"178","045.10.01.148.00",2016-02-01,131500
"179","045.30.00.001.16",2016-02-01,130000
"180","045.30.00.167.00",2016-02-01,98000
"181","045.30.01.111.00",2016-02-01,139900
"182","054.14.07.003.00",2016-02-01,66000
"183","054.14.14.016.00",2016-02-01,80000
"184","054.14.15.007.00",2016-02-01,1551000
"185","054.21.09.003.00",2016-02-01,30000
"186","054.21.24.009.00",2016-02-01,450000
"187","054.22.12.033.00",2016-02-01,219500
"188","054.22.18.010.00",2016-02-01,3000
"189","054.22.27.018.00",2016-02-01,3500
"190","054.22.36.001.00",2016-02-01,115000
"191","054.22.39.001.00",2016-02-01,185000
"192","054.22.39.003.00",2016-02-01,295000
"193","054.23.01.007.00",2016-02-01,95000
"194","054.24.06.019.00",2016-02-01,52000
"195","054.24.21.017.00",2016-02-01,1000
"196","054.24.24.020.00",2016-02-01,12000
"197","054.42.01.010.00",2016-02-01,7500
"198","054.42.05.043.00",2016-02-01,17500
"199","055.11.08.006.00",2016-02-01,14000
"200","055.11.17.045.00",2016-02-01,7000
"201","055.11.17.049.00",2016-02-01,25000
"202","055.11.19.005.00",2016-02-01,8500
"203","055.11.32.028.00",2016-02-01,15000
"204","055.12.02.061.00",2016-02-01,129000
"205","055.13.11.038.00",2016-02-01,5000
"206","055.14.06.027.00",2016-02-01,9000
"207","055.14.21.030.00",2016-02-01,34000
"208","055.23.02.034.00",2016-02-01,7000
"209","055.23.08.006.00",2016-02-01,700
"210","055.23.09.023.00",2016-02-01,32700
"211","055.23.09.024.00",2016-02-01,40400
"212","055.23.10.012.00",2016-02-01,35000
"213","055.23.11.012.00",2016-02-01,2500
"214","055.23.11.019.00",2016-02-01,17000
"215","055.24.06.003.00",2016-02-01,77000
"216","055.24.06.004.00",2016-02-01,77000
"217","055.24.10.008.00",2016-02-01,68000
"218","055.31.01.015.00",2016-02-01,8000
"219","055.31.12.006.00",2016-02-01,46600
"220","055.31.13.004.00",2016-02-01,25000
"221","055.31.20.009.00",2016-02-01,47600
"222","055.32.01.006.00",2016-02-01,75000
"223","055.32.04.062.00",2016-02-01,85000
"224","055.32.08.008.00",2016-02-01,330500
"225","055.32.10.001.00",2016-02-01,81500
"226","055.32.10.023.00",2016-02-01,8000
"227","055.32.16.011.00",2016-02-01,65000
"228","055.32.19.017.00",2016-02-01,50000
"229","055.32.21.001.00",2016-02-01,50000
"230","055.41.02.020.00",2016-02-01,24500
"231","056.11.05.021.00",2016-02-01,21000
"232","056.11.07.004.00",2016-02-01,22000
"233","056.12.03.016.00",2016-02-01,75000
"234","056.12.04.003.00",2016-02-01,20200
"235","056.12.06.001.00",2016-02-01,38000
"236","056.12.16.002.00",2016-02-01,51000
"237","056.13.07.009.00",2016-02-01,60700
"238","056.13.12.010.00",2016-02-01,89000
"239","056.13.13.006.00",2016-02-01,53100
"240","056.14.13.016.00",2016-02-01,48500
"241","056.31.02.020.00",2016-02-01,70000
"242","056.31.07.016.00",2016-02-01,35000
"243","056.31.19.012.00",2016-02-01,25000
"244","056.32.23.008.00",2016-02-01,9200
"245","056.32.23.018.00",2016-02-01,20000
"246","056.32.25.007.00",2016-02-01,89000
"247","056.32.25.022.00",2016-02-01,4200
"248","056.32.26.016.00",2016-02-01,100000
"249","056.33.01.006.00",2016-02-01,85000
"250","056.42.01.019.00",2016-02-01,19900
"251","056.42.01.042.00",2016-02-01,58000
"252","056.43.10.010.00",2016-02-01,79900
"253","058.40.00.250.00",2016-02-01,80100
"254","059.30.10.073.00",2016-02-01,208000
"255","840.41.10.101.09",2016-02-01,80000
"256","840.41.10.106.11",2016-02-01,135000
"257","843.00.03.003.14",2016-02-01,164600
"258","843.00.03.003.32",2016-02-01,142700
"259","843.00.03.019.30",2016-02-01,100000
"260","854.14.12.001.04",2016-02-01,180000
"261","040.10.02.011.00",2016-06-01,53200
"262","040.14.07.011.00",2016-06-01,3500
"263","040.14.08.026.00",2016-06-01,25000
"264","040.30.00.043.03",2016-06-01,200000
"265","040.41.05.002.00",2016-06-01,393400
"266","040.43.10.031.00",2016-06-01,75000
"267","040.43.12.031.00",2016-06-01,310000
"268","040.44.02.028.02",2016-06-01,1000000
"269","040.44.09.008.00",2016-06-01,146000
"270","040.44.14.012.00",2016-06-01,107000
"271","041.30.00.001.33",2016-06-01,500
"272","041.30.00.007.00",2016-06-01,1000000
"273","041.30.02.003.36",2016-06-01,278000
"274","041.33.00.003.00",2016-06-01,1000000
"275","041.33.01.007.00",2016-06-01,1000000
"276","041.33.06.044.00",2016-06-01,49500
"277","043.00.03.003.14",2016-06-01,129500
"278","043.00.03.006.00",2016-06-01,499100
"279","043.00.03.006.01",2016-06-01,499100
"280","043.00.03.008.13",2016-06-01,157900
"281","043.00.03.008.14",2016-06-01,142600
"282","044.40.00.002.29",2016-06-01,91000
"283","044.40.00.002.31",2016-06-01,124000
"284","045.00.01.006.00",2016-06-01,120000
"285","045.00.01.142.00",2016-06-01,113000
"286","045.00.01.254.00",2016-06-01,98000
"287","045.00.02.002.00",2016-06-01,275000
"288","045.30.00.001.15",2016-06-01,122000
"289","045.30.00.017.00",2016-06-01,65000
"290","045.30.00.055.00",2016-06-01,50000
"291","045.30.00.063.00",2016-06-01,85000
"292","045.30.00.169.00",2016-06-01,123500
"293","045.30.00.314.00",2016-06-01,99900
"294","045.30.00.454.00",2016-06-01,71800
