id,date,hap,fdummy,sdummy,spell
041.33.08.010.00,42401,0,0,0,36
041.33.08.010.00,42401,0,0,0,36
041.33.08.022.00,42552,0,0,0,36
041.40.31.012.00,42644,0,0,1,25
041.40.31.012.00,42644,0,0,1,5
042.30.00.084.01,42401,0,0,0,36
042.30.00.084.01,42401,0,0,0,36
042.30.01.006.00,42552,0,0,0,36
043.00.03.003.12,42370,0,0,0,36
043.00.03.003.14,42522,0,0,0,36
043.00.03.006.00,42522,0,0,1,9
043.00.03.006.00,42522,0,0,1,11
043.00.03.006.00,42522,0,0,1,10
043.00.03.006.00,42522,0,0,1,11
043.00.03.006.00,42522,0,0,1,21
043.00.03.006.00,42522,0,0,1,9
043.00.03.006.00,42522,0,0,1,30
043.00.03.006.00,42522,0,0,1,11
043.00.03.006.00,42522,0,0,1,12
043.00.03.006.00,42522,0,0,1,25
043.00.03.006.01,42522,0,0,0,36
043.00.03.008.11,42614,0,0,0,36
043.00.03.008.12,42552,0,0,0,36
043.00.03.008.13,42522,0,0,0,36
043.00.03.008.14,42522,0,0,0,36
044.10.00.054.00,42583,0,0,0,36
044.10.00.055.00,42552,0,0,0,36
044.40.00.002.19,42401,0,0,0,36
044.40.00.002.19,42401,0,0,0,36
044.40.00.002.20,42644,0,0,0,36
044.40.00.002.20,42644,0,0,0,36
044.40.00.002.29,42522,0,0,1,7
044.40.00.002.29,42522,0,0,1,12
044.40.00.002.29,42644,0,0,1,3
044.40.00.002.29,42644,0,0,1,8
044.40.00.002.31,42522,0,0,0,36
045.00.00.022.00,42401,0,0,0,36
045.00.00.022.00,42401,0,0,0,36
045.00.00.031.00,42644,0,1,0,10
045.00.01.001.00,42583,0,1,0,12
045.00.01.004.00,42401,0,0,0,36
045.00.01.004.00,42401,0,0,0,36
045.00.01.006.00,42522,1,0,0,36
045.00.01.112.00,42583,0,0,1,25
045.00.01.112.00,42552,0,0,1,26
045.00.01.118.00,42583,0,0,0,36
045.00.01.142.00,42522,0,0,0,36
045.00.01.149.00,42583,0,0,1,7
045.00.01.163.00,42614,0,0,1,11
045.00.01.164.00,42401,0,0,0,36
045.00.01.164.00,42401,0,0,0,36
045.00.01.182.00,42583,0,0,0,36
045.00.01.187.00,42614,0,0,1,24
045.00.01.189.00,42583,0,0,0,36
045.00.01.191.00,42401,0,0,1,29
045.00.01.191.00,42401,0,0,1,29
045.00.01.193.00,42552,0,0,0,36
045.00.01.197.00,42614,0,1,0,6
045.00.01.197.00,42644,0,1,0,5
045.00.01.215.00,42614,0,0,0,36
