id,hap,fdummy,sdummy,spell,age,sqft,saleval
045.30.00.280.00,0,0,0,48,3.970291914,7.227662499,10.87993221
045.30.00.295.00,0,0,0,48,3.218875825,6.856461985,11.20775808
045.30.00.321.00,0,0,0,48,3.828641396,6.856461985,11.1124479
045.30.00.321.00,0,0,0,48,3.828641396,6.856461985,11.1124479
045.30.00.423.00,0,0,1,24,3.688879454,7.129297549,11.06507464
045.30.00.423.00,0,0,1,24,3.688879454,7.129297549,11.06507464
045.30.00.423.00,0,0,1,24,3.688879454,7.129297549,11.06507464
045.30.00.423.00,0,0,1,24,3.688879454,7.129297549,11.06507464
045.30.00.490.00,0,0,1,11,4.007333185,6.882437471,11.00209984
045.30.00.490.00,0,0,1,11,4.007333185,6.882437471,11.00209984
045.30.00.493.00,0,0,1,26,3.951243719,7.22620901,11.56171563
045.30.00.498.01,0,0,0,48,3.663561646,7.062191632,11.62625415
045.30.00.539.00,0,0,1,9,3.688879454,7.299121463,10.88369161
045.30.00.584.00,0,0,0,48,3.295836866,7.665753432,11.8968264
045.30.00.605.00,0,0,1,26,4.007333185,7.591357047,11.54248427
045.30.00.605.00,0,0,1,26,4.007333185,7.591357047,11.54248427
045.30.00.605.00,0,0,1,26,4.007333185,7.591357047,11.54248427
045.30.00.610.00,0,0,0,48,4.007333185,6.858565035,11.06507464
045.30.00.619.00,0,0,0,48,3.871201011,6.856461985,11.61728548
045.30.00.650.00,0,1,0,8,3.871201011,7.092573716,11.24635236
045.30.01.032.00,0,0,1,34,2.944438979,7.318539549,11.74799759
045.40.00.096.00,0,0,0,48,3.295836866,6.946975992,11.80559508
045.40.00.096.00,0,0,0,48,3.295836866,6.946975992,11.80559508
054.14.12.011.00,0,0,1,44,4.927253685,7.996317232,13.39239051
054.14.12.011.00,0,0,1,44,4.927253685,7.996317232,13.39239051
054.21.04.036.00,0,0,0,48,5.129898715,7.440146681,11.71177632
054.21.07.002.00,0,0,0,48,5.062595033,7.988203597,11.28978191
